Symbol,Name,LastSale,MarketCap,IPOyear,Sector,industry,Summary Quote
SNPS,"Synopsys, Inc.",75.745,$11.39B,1992,Technology,Computer Software: Prepackaged Software,http://www.nasdaq.com/symbol/snps
SYNT,"Syntel, Inc.",17.385,$1.45B,1997,Technology,EDP Services,http://www.nasdaq.com/symbol/synt
SYMX,"Synthesis Energy Systems, Inc.",0.68,$59.37M,n/a,Basic Industries,Major Chemicals,http://www.nasdaq.com/symbol/symx
SYPR,"Sypris Solutions, Inc.",1.6899,$36.16M,n/a,Capital Goods,Industrial Machinery/Components,http://www.nasdaq.com/symbol/sypr
SYRS,"Syros Pharmaceuticals, Inc.",16.485,$431.58M,2016,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/syrs
TROW,"T. Rowe Price Group, Inc.",71.52,$17.26B,1986,Finance,Investment Bankers/Brokers/Service,http://www.nasdaq.com/symbol/trow
TTOO,"T2 Biosystems, Inc.",3.54,$108.3M,2014,Health Care,Medical/Dental Instruments,http://www.nasdaq.com/symbol/ttoo
TRHC,"Tabula Rasa HealthCare, Inc.",14.57,$250.87M,2016,Miscellaneous,Business Services,http://www.nasdaq.com/symbol/trhc
TCMD,"Tactile Systems Technology, Inc.",26.49,$448.74M,2016,Health Care,Medical/Dental Instruments,http://www.nasdaq.com/symbol/tcmd
TAIT,Taitron Components Incorporated,1.4868,$8.22M,1995,Consumer Non-Durables,Electronic Components,http://www.nasdaq.com/symbol/tait
